Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
The Interpreter,2005,PG-13,22 Apr 2005,128,"Crime, Mystery, Thriller","Aboriginal, English, French, Portuguese",3 wins & 2 nominations.,6.4,"95,770",tt0373926,movie,Universal Pictures,80000000,162944923,103.68
The Hunger Games,2012,PG-13,23 Mar 2012,142,"Action, Adventure, Sci-Fi, Thriller",English,Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,7.2,"825,731",tt1392170,movie,Lionsgate,75000000,691210692,821.61
Thor,2011,PG-13,06 May 2011,115,"Action, Adventure, Fantasy",English,5 wins & 30 nominations.,7.0,"725,928",tt0800369,movie,Paramount Pictures,150000000,449326618,199.55
Human Nature,2001,R,12 Sep 2001,96,"Comedy, Drama","English, French",2 wins & 2 nominations.,6.4,"17,093",tt0219822,movie,Fine Line Features,6000000,705308,-88.24
Cloud Atlas,2012,R,26 Oct 2012,172,"Action, Drama, Mystery, Sci-Fi","English, Spanish, Ukrainian",Nominated for 1 Golden Globe. Another 16 wins & 76 nominations.,7.4,"337,874",tt1371111,movie,Warner Bros. Pictures,102000000,130482868,27.92
Expelled: No Intelligence Allowed,2008,PG,18 Apr 2008,90,Documentary,English,3 wins.,3.7,"11,736",tt1091617,movie,Rocky Mountain Pictures,3500000,7700000,120.0
A Single Man,2009,R,05 Feb 2010,99,"Drama, Romance","English, Spanish",Nominated for 1 Oscar. Another 39 wins & 56 nominations.,7.6,"103,801",tt1315981,movie,The Weinstein Company,7000000,24964890,256.64
Repo Men,2010,R,19 Mar 2010,111,"Action, Sci-Fi, Thriller","English, Spanish",2 nominations.,6.3,"98,997",tt1053424,movie,Universal Studios,32000000,18409891,-42.47
Meet Bill,2007,R,18 Jun 2008,93,"Comedy, Drama",English,1 nomination.,6.2,"19,206",tt0790623,movie,First Look,5000000,346592,-93.07
Hearts in Atlantis,2001,PG-13,28 Sep 2001,101,"Drama, Mystery",English,2 wins & 8 nominations.,6.9,"35,148",tt0252501,movie,Warner Bros.,31000000,24185781,-21.98
Gangs of New York,2002,R,20 Dec 2002,167,"Crime, Drama","English, Irish, Chinese, Latin",Nominated for 10 Oscars. Another 50 wins & 124 nominations.,7.5,"393,904",tt0217505,movie,Miramax Films,100000000,193772504,93.77
Limbo,1999,R,07 Jul 1999,126,"Adventure, Drama, Thriller",English,2 wins & 5 nominations.,6.9,"5,579",tt0164085,movie,Sony,8000000,1997807,-75.03
King of New York,1990,R,29 Aug 1991,103,"Crime, Thriller",English,1 win & 2 nominations.,7.0,"30,535",tt0099939,movie,Live Home Video,1000000,2554476,155.45
Parts Per Billion,2014,R,06 Jan 2015,98,"Drama, Romance, Sci-Fi",English,,4.3,"1,860",tt2495104,movie,Unknown,1300000,15000000,1053.85
It Chapter Two,2019,R,06 Sep 2019,169,"Drama, Fantasy, Horror",English,5 wins & 18 nominations.,6.6,"181,105",tt7349950,movie,New Line Cinema,79000000,473093228,498.85
Anger Management,2003,PG-13,11 Apr 2003,106,Comedy,English,2 wins & 5 nominations.,6.3,"199,589",tt0305224,movie,Sony Pictures Entertainment,75000000,195745823,160.99
