Budget,IMDB ID,Revenue
17080000,tt0109067,21011500
5000000,tt0107460,5000000
5000000,tt0109578,1702394
6000000,tt0109831,254700832
45000000,tt0110146,21355893
10700000,tt0109376,1238080
15000000,tt0109040,107217396
50000000,tt0110725,49000000
11500000,tt0110950,20079850
15000000,tt0109417,3038499
26000000,tt0109402,8009329
11000000,tt0110955,11439193
55000000,tt0109635,214015089
25000000,tt0110074,2800000
30000000,tt0110622,51132598
4000000,tt0065421,55675257
28000000,tt0111419,11373501
19000000,tt0109447,7411659
2000000,tt0110329,2260622
13000000,tt0111127,7820688
7400000,tt0111323,7690013
10000,tt0147507,10000
30000000,tt0110322,160638883
13000000,tt0109783,3134081
9000000,tt0110759,4350774
20000000,tt0110678,15340000
27000000,tt0120769,76000000
30000000,tt0110622,51132598
2000000,tt0107953,54207
15000000,tt0109506,94000000
11000000,tt0107282,32861136
25000000,tt0110074,2800000
1200000,tt0105236,2859750
4000000,tt0065421,55675257
6000000,tt0109831,254700832
12000000,tt0107009,5086909
13000000,tt0111127,7820688
15000000,tt0106664,10611160
75000000,tt0110478,183031272
15000000,tt0109040,107217396
10000000,tt0106489,17287898
35000000,tt0107004,18635620
8000000,tt0110912,214179088
50000000,tt0109254,119208989
46000000,tt0109813,341631208
12000000,tt0108002,22750363
6900000,tt0106677,7993039
35000000,tt0107426,4858139
25000000,tt0108358,56505065
35000000,tt0104714,321731527
40000000,tt0110971,24332324
30000000,tt0111257,350448145
10000000,tt0110857,126247
12500000,tt0108399,12281551
40,tt0109439,43
130,tt0134108,65
45000000,tt0110357,763455561
19885552,tt0106912,19724334
13000000,tt0107745,6582052
11000000,tt0110955,11439193
26000000,tt0109402,8009329
70000000,tt0111742,131002597
57000000,tt0106697,159055768
20000000,tt0107977,35739755
18000000,tt0107076,74189677
8000000,tt0113409,8946600
6000000,tt0101545,11336986
6500000,tt0106223,24103594
20000000,tt0108174,11585483
55000000,tt0109830,677387716
63000000,tt0111756,25052000
22000000,tt0107978,10696210
